CaseID,Condition,Case_ID,Case_Type,Epidemiological_Classification,Facility,Facility_Sector,Facility_Type,Facility_Classification,District,Sub_District,Province,Notifier,Symptom_Date,Diagnosis_Date,Diagnosis_Method,Notification_Date,Folder_No,Patient_Name,Patient_Surname,Patient_DOB,Patient_Age,Patient_Age_Category,Patient_Age_Unit,Patient_Gender,ID_Type,Patient_ID_No,Patient_Passport_No,Patient_Contact_No,Patient_Country,Patient_Province,Patient_Suburb,Patient_City,Patient_Vital_Status,Patient_Death_Date,Patient_Admission_Status,Patient_has_Travelled,Vaccination_Status,Vaccination_last_Date,Specimen_Collected,Specimen_Barcode,Episode_Number,Case_Source,PregnancyStatus,treatment,Symptoms,patientWeight,patientheight,EthnicGroup,CurrentOccupation,OtherOccupation,HCWType,PreviousEmp,OtherPreviousEmp,Smoking,NoCigarettes,Alcohol,NoAlcoholDrinks,AlcoholGreaterSix,OtherDrugUse,CCHypertension,CCDiabetes,CCChroniccardiacdisease,CCChronicPulmonaryDisease,CCAsthma,CCChronicRenalDisease,CCMalignancy,CCTypeMalignancy,CCTB,CCHIV,CCOther,Disability,CCOtherDisability,HIVART,HIVCD4Date,HIVCD4Value,HIVVLDate,HIVVLValue,IsChildHIVExposed,PMHTBTreatment,PMHHospitalAdmission,PMHAdmissionDate,InternationalTravel3months,TraveledCountry3months,InterprovincialTravel3months,TraveledProvince3months,ContactWithAnimals,OtherAnimalContact,AdmissionFacility,AdmissionDate,AdmissionWard,AdmissionTreatment,OtherAdmissionTreatment,PatientOutcome,TransferredOutHospital,OutcomeDate,MalariaProphylaxisTaken,MalariaProphylaxisSpecify,ContactDetails
4694466,Cholera,240131_46655002,Clinical,Suspected case,Carnot Community Health Center,PUBLIC,CLINIC,DOH,Mbomou,Bossembélé,Ouaka,Esther Ngbanda,2024-03-09,2024-01-28,Clinical signs and symptoms ONLY,2024-02-01,32/18,Francine,Zémio,2005-11-22,48.0,0,Days,Female,SA ID,,,789721121.0,South Africa,Haute-Kotto,Baoro,Mambéré-Kadéï,Alive,,Outpatient,,,,Yes,Ahnz4606nof,,iOS,Not Pregnant,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4863561,Cholera,240114_4624378,Clinical,Suspected case,Bouca Community Health Center,PUBLIC,CLINIC,DOH,Bouca,Baoro,Ouaka,Florence Patassé,2024-01-26,2024-03-28,Clinical signs and symptoms ONLY,2024-01-19,214075,Paul,Paoua,1974-07-05,39.0,0,Years,Male,SA ID,5901110461088.0,,,South Africa,Ouham-Pendé,Nola,Vakaga,Alive,2024-02-09,Inpatient,No,,,Yes,AICC5748NOF,OF00231608,Web,,,Rice-water stools|,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849178,Cholera,240416_47873702,Clinical,Clinical notification,Bouca Community Health Center,PUBLIC,CLINIC,DOH,Kabo,Paoua,Mambéré-Kadéï,Simone Djotodia,2024-01-26,2024-01-31,Laboratory confirmed,2024-02-13,BO2800092038,Rachelle,Obo,2014-08-05,39.0,50-54,Years,Male,,,,727232901.0,South Africa,Ouham-Pendé,Bambari,Ouham,Alive,,Outpatient,Yes,,,Yes,ANMF0074P,,Android,,,Profuse watery diarrhea|,,,,,,,,,,,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4734363,Cholera,240214_46941092,Clinical,Clinical notification,Bambari Trauma Center,PUBLIC,HOSPITAL,DOH,Bouca,Baoro,Ouaka,Philippe Gbaya,2024-01-11,2024-02-06,Clinical signs and symptoms ONLY,2024-03-01,,Gervais,Bangui,2021-08-24,8.0,15-19,Years,Male,SA ID,,,798895242.0,South Africa,Ouham-Pendé,Bouar,Vakaga,,,Inpatient,No,,,Yes,ANGV7935P,,Microstrategy/SDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discharged Alive,,,,,
4826173,Cholera,240114_46244481,Clinical,Clinical notification,Bria Regional Clinic,PUBLIC,HOSPITAL,DOH,Bouca,Bria,Haute-Kotto,Claudine Yangongo,2024-01-21,2024-01-31,Clinical signs and symptoms ONLY,2024-02-26,GID22/133006,Henriette,Dacko,2017-12-31,61.0,40-44,Days,Male,Passport,1405185287083.0,,637355707.0,South Africa,Ouham-Pendé,Bossangoa,Vakaga,Alive,,,No,,,Yes,ANMF0217P,,Paper-based,,,Severe dehydration|Vomiting|Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660052,Cholera,240614_48612741,Clinical,Clinical notification,Bouca Community Health Center,PUBLIC,CLINIC,PRIVATE HOSPITAL GROUP,Bouca,Baoro,Ouaka,Véronique Berberati,2024-06-10,2024-03-01,Laboratory confirmed,2024-02-12,7910240,Chantal,Yakoma,1986-01-01,24.0,0,Days,Female,SA ID,,,632427036.0,South Africa,Nana-Grébizi,Bangassou,Vakaga,Alive,,Outpatient,Yes,,,Yes,ANMF0203P,,Android,,,,,,,,,,,,,,,,,,,,,,,No,,,,,Cholera,,,,,,,,,,,,,,,,,,,2024-03-01,General Ward|,,,,,,,,
4656336,Cholera,240220_47073301,Clinical,Clinical notification,Sibut District Center,PUBLIC,CLINIC,DOH,Kabo,Baoro,Mambéré-Kadéï,Didier Boganda,2024-03-09,2024-01-15,Laboratory confirmed,2024-01-31,1001265078,Gervais,Carnot,1986-01-01,42.0,0,Years,Male,SA ID,809131250080.0,N7677F79,,South Africa,Ouham-Pendé,Bria,Ouham,Alive,,Outpatient,Yes,,,No,ADON4154HOF,,Android,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664586,Cholera,240131_46651582,Clinical,Clinical notification,Mbaiki Women's Hospital,PUBLIC,HOSPITAL,PRIVATE HOSPITAL GROUP,Kabo,Baoro,Mambéré-Kadéï,François Bangui,2024-01-28,2024-02-27,Clinical signs and symptoms ONLY,2024-03-13,7131,Yvonne,Dacko,1991-05-11,48.0,0,Days,Male,SA ID,,,604891376.0,South Africa,Ouham-Pendé,Bossangoa,Bambari,Alive,,Inpatient,No,,,Yes,ANMF0222P,,Android,Not Pregnant,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
4664739,Cholera,240213_46926992,Clinical,Suspected case,Bambari Trauma Center,PUBLIC,CLINIC,DOH,Bossembélé,Bangui,Haute-Kotto,Quitterie Sibut,2024-01-26,2024-04-12,Clinical signs and symptoms ONLY,2024-01-29,,Léontine,Bambari,1964-06-14,34.0,0,Days,Male,SA ID,,,637355707.0,South Africa,Nana-Grébizi,Berberati,Ouham,Alive,,Discharged,No,,,Yes,ANMF0072P,,Android,,,Profuse watery diarrhea|,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664634,Cholera,240306_47357602,Clinical,Clinical notification,Bambari Regional Post,PUBLIC,HOSPITAL,DOH,Bouca,Zémio,Ouaka,Florence Patassé,2024-01-26,2024-01-31,Clinical signs and symptoms ONLY,2024-03-06,,André,Gamboula,2015-04-20,9.0,5-9,Days,Male,SA ID,7603065536082.0,,837150475.0,South Africa,Nana-Grébizi,Mobaye,Kaga-Bangoro,Alive,,Outpatient,No,,,Yes,ANMF0216,,Paper-based,,,Profuse watery diarrhea|,6.0,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
